longitude,latitude,altitude
73.19627120689846,22.27817489682416,50
73.19627120689846,22.28241067911484,50
73.19650419654563,22.28241067911484,50
73.19650419654563,22.27817489682416,50
73.19673718619279,22.27817489682416,50
73.19673718619279,22.28241067911484,50
73.19697017583997,22.28241067911484,50
73.19697017583997,22.27817489682416,50
73.19720316548714,22.27817489682416,50
73.19720316548714,22.28241067911484,50
73.1974361551343,22.28241067911484,50
73.1974361551343,22.27817489682416,50
73.19766914478147,22.27817489682416,50
73.19766914478147,22.28241067911484,50
73.19790213442865,22.28241067911484,50
73.19790213442865,22.27817489682416,50
73.19813512407582,22.27817489682416,50
73.19813512407582,22.28241067911484,50
73.19836811372298,22.28241067911484,50
73.19836811372298,22.27817489682416,50
73.19860110337015,22.27817489682416,50
73.19860110337015,22.28241067911484,50
73.19883409301733,22.28241067911484,50
73.19883409301733,22.27817489682416,50
73.19906708266448,22.27817489682416,50
73.19906708266448,22.28241067911484,50
73.19930007231166,22.28241067911484,50
73.19930007231166,22.27817489682416,50
73.19953306195883,22.27817489682416,50
73.19953306195883,22.28241067911484,50
73.19976605160599,22.28241067911484,50
73.19976605160599,22.27817489682416,50
73.19999904125316,22.27817489682416,50
73.19999904125316,22.28241067911484,50
73.20023203090034,22.28241067911484,50
73.20023203090034,22.27817489682416,50
73.20046502054751,22.27817489682416,50
73.20046502054751,22.28241067911484,50
73.20069801019467,22.28241067911484,50
73.20069801019467,22.27817489682416,50
73.20093099984184,22.27817489682416,50
73.20093099984184,22.28241067911484,50
73.20116398948902,22.28241067911484,50
73.20116398948902,22.27817489682416,50
73.20139697913618,22.27817489682416,50
73.20139697913618,22.28241067911484,50
73.20162996878335,22.28241067911484,50
73.20162996878335,22.27817489682416,50
73.20186295843052,22.27817489682416,50
73.20186295843052,22.28241067911484,50
73.20209594807768,22.28241067911484,50
73.20209594807768,22.27817489682416,50
73.20232893772486,22.27817489682416,50
73.20232893772486,22.28241067911484,50
73.20256192737203,22.28241067911484,50
73.20256192737203,22.27817489682416,50
73.2027949170192,22.27817489682416,50
73.2027949170192,22.28241067911484,50
73.20302790666636,22.28241067911484,50
73.20302790666636,22.27817489682416,50
73.20326089631354,22.27817489682416,50
73.20326089631354,22.28241067911484,50
73.20349388596071,22.28241067911484,50
73.20349388596071,22.27817489682416,50
73.20372687560787,22.27817489682416,50
73.20372687560787,22.28241067911484,50
73.20395986525504,22.28241067911484,50
73.20395986525504,22.27817489682416,50
